,PLAYER,Team,Pos,GP,G,A,PTS,PPG,GWG,SHG,ENG,SHOT ON NET,TOTAL FACEOFF,FACEOFF WINS,PLSMNS,Opponent Score,PEN MIN,BLOCKS
0,Michael Hagens,Boston College,D,35,1,7,8,0,0,0,0,23,1,0,5,65,5,12
1,Eamon Powell,Boston College,D,30,4,16,20,0,1,0,0,43,0,0,20,60,12,25
2,Gentry Shamburger,Boston College,F,19,1,0,1,0,1,0,0,11,0,0,1,35,8,1
3,Aidan Hreschuk,Boston College,D,31,2,6,8,0,0,0,0,36,3,1,9,56,11,18
4,Mike Posma,Boston College,F,35,4,5,9,1,0,0,0,59,402,211,4,65,16,15
5,Connor Joyce,Boston College,F,32,3,2,5,0,0,0,0,35,119,66,4,63,2,9
6,Brady Berard,Boston College,F,33,4,1,5,0,0,1,1,61,101,52,-4,63,10,16
7,Lukas Gustafsson,Boston College,D,33,2,13,15,1,0,0,0,48,0,0,16,60,12,47
8,Oskar Jellvik,Boston College,F,23,4,9,13,0,0,0,1,39,70,24,6,40,10,15
9,Andre Gasseau,Boston College,F,34,15,15,30,2,3,0,3,87,409,206,23,64,49,19
10,Ryan Leonard,Boston College,F,35,29,18,47,4,9,1,6,191,246,108,30,65,44,57
11,Jacob Fowler,Boston College,G,33,0,2,2,0,0,0,0,0,0,0,0,63,17,0
12,Drew Fortescue,Boston College,D,34,0,10,10,0,0,0,0,38,0,0,28,60,42,26
13,Aram Minnetian,Boston College,D,33,2,12,14,0,1,0,0,43,0,0,20,63,16,21
14,Will Vote,Boston College,F,33,8,4,12,1,2,1,0,46,24,5,6,62,12,7
15,Gabe Perreault,Boston College,F,35,15,32,47,5,2,1,1,119,40,20,28,65,23,27
16,Teddy Stiga,Boston College,F,34,13,16,29,2,2,3,2,91,118,64,12,64,34,26
17,James Hagens,Boston College,F,35,10,25,35,2,3,0,0,99,404,185,21,65,24,27
18,Jake Sondreal,Boston College,F,34,2,4,6,0,2,0,0,37,52,25,6,65,36,4
19,Will Skahan,Boston College,D,28,2,5,7,0,0,0,0,33,0,0,6,50,10,17
20,Dean Letourneau,Boston College,F,34,0,3,3,0,0,0,0,34,168,67,6,63,6,10
21,Nolan Joyce,Boston College,D,16,0,0,0,0,0,0,0,12,0,0,2,33,4,4
22,Will Traeger,Boston College,F,4,0,0,0,0,0,0,0,0,0,0,-1,5,0,0
23,Jan Korec,Boston College,G,3,0,0,0,0,0,0,0,0,0,0,0,7,0,0
24,Brehdan Engum,Boston University,D,30,0,2,2,0,0,0,0,21,0,0,7,92,8,19
25,Tristan Amonte,Boston University,F,32,4,2,6,0,0,0,1,15,11,5,-2,112,19,10
26,Jack Hughes,Boston University,F,35,5,15,20,2,1,0,0,68,304,145,9,119,18,33
27,Matt Copponi,Boston University,F,35,4,16,20,0,0,1,0,79,321,140,15,119,10,19
28,Mathieu Caron,Boston University,G,21,0,3,3,0,0,0,0,0,0,0,0,74,0,0
29,Devin Kaplan,Boston University,F,33,10,5,15,2,0,2,0,48,6,2,-8,109,47,17
30,Quinn Hutson,Boston University,F,33,20,26,46,5,2,0,1,148,5,2,17,114,29,34
31,Ryan Greene,Boston University,F,35,13,20,33,4,2,0,1,88,682,353,6,119,18,24
32,Gavin McCarthy,Boston University,D,34,3,12,15,0,1,1,1,49,0,0,3,117,51,20
33,Tom Willander,Boston University,D,34,2,20,22,1,1,0,0,47,0,0,19,112,8,19
34,Jack Harvey,Boston University,F,35,9,15,24,0,2,0,0,89,8,4,12,119,2,23
35,Mick Frechette,Boston University,D,21,0,0,0,0,0,0,0,9,0,0,1,84,8,2
36,Shane Lachance,Boston University,F,35,11,17,28,6,3,0,1,125,207,108,0,119,26,21
37,Aiden Celebrini,Boston University,D,26,1,5,6,0,0,0,0,23,1,0,8,97,12,16
