PLAYER,GP,G,A,PTS,PPG,GWG,SHG,ENG,SHOT ATTEMPTS,SHOT ON NET,FACEOFF WINS,TOTAL FACEOFF,BLOCKS,PLSMNS,Opponent Score
Michael Hagens,37,1,7,8,0,0,0,0,50,23,0,1,12,5,65
Eamon Powell,32,4,16,20,0,1,0,0,91,43,0,0,28,20,60
Gentry Shamburger,21,1,0,1,0,1,0,0,15,11,0,0,2,1,35
Aidan Hreschuk,33,2,7,9,0,0,0,0,75,36,1,3,19,9,56
Mike Posma,37,4,5,9,1,0,0,0,98,59,211,402,15,4,65
Connor Joyce,35,3,2,5,0,0,0,0,57,35,66,119,11,4,63
Brady Berard,35,4,1,5,0,0,1,1,103,61,52,101,16,-4,63
Lukas Gustafsson,35,2,13,15,1,0,0,0,125,48,0,0,51,16,60
Oskar Jellvik,23,4,9,13,0,0,0,1,76,39,24,70,15,6,40
Andre Gasseau,36,15,15,30,2,3,0,3,145,87,206,409,21,23,64
Ryan Leonard,37,30,19,49,4,9,1,7,325,191,108,246,62,30,65
Jacob Fowler,35,0,2,2,0,0,0,0,0,0,0,0,0,0,63
Drew Fortescue,36,0,11,11,0,0,0,0,90,38,0,0,33,28,60
Aram Minnetian,35,2,13,15,0,1,0,0,96,43,0,0,22,20,63
Will Vote,36,8,5,13,1,2,1,0,62,46,5,24,7,6,62
Gabe Perreault,37,16,32,48,5,2,1,1,186,119,20,40,29,28,65
Teddy Stiga,36,14,16,30,2,2,3,2,160,91,64,118,27,12,64
James Hagens,37,11,26,37,2,4,0,0,161,99,185,404,29,21,65
Jake Sondreal,36,2,4,6,0,2,0,0,62,37,25,52,4,6,65
Will Skahan,30,2,5,7,0,0,0,0,64,33,0,0,18,6,50
Dean Letourneau,36,0,3,3,0,0,0,0,57,34,67,168,10,6,63
Nolan Joyce,17,0,0,0,0,0,0,0,21,12,0,0,4,2,33
Will Traeger,4,0,0,0,0,0,0,0,1,0,0,0,0,-1,5
Jan Korec,3,0,0,0,0,0,0,0,0,0,0,0,0,0,7
Brehdan Engum,30,0,2,2,0,0,0,0,48,21,0,0,19,7,92
Tristan Amonte,38,4,2,6,0,0,0,1,31,15,5,11,10,-2,112
Jack Hughes,40,7,18,25,2,1,1,0,132,68,145,304,36,9,119
Matt Copponi,40,6,18,24,0,0,1,0,140,79,140,321,22,15,119
Mathieu Caron,21,0,3,3,0,0,0,0,0,0,0,0,0,0,74
Devin Kaplan,38,10,8,18,2,0,2,0,87,48,2,6,17,-8,109
Quinn Hutson,38,23,27,50,7,3,0,1,231,148,2,5,40,17,114
Ryan Greene,40,13,25,38,4,2,0,1,146,88,353,682,26,6,119
Gavin McCarthy,39,3,13,16,0,1,1,1,94,49,0,0,24,3,117
Tom Willander,39,2,22,24,1,1,0,0,108,47,0,0,24,19,112
Jack Harvey,40,11,16,27,0,2,0,1,139,89,4,8,25,12,119
Mick Frechette,26,0,0,0,0,0,0,0,14,9,0,0,3,1,84
Shane Lachance,40,12,18,30,7,3,0,1,178,125,108,207,23,0,119
