PLAYER,Team,Pos,GP,SHOT ATTEMPTS,G,A,PTS,PPG,GWG,SHG,ENG,PEN MIN,BLOCKS
Michael Hagens,Boston College,D,35,48,1,7,8,0,0,0,0,5,12
Eamon Powell,Boston College,D,30,81,4,16,20,0,1,0,0,12,25
Gentry Shamburger,Boston College,F,19,14,1,0,1,0,1,0,0,8,1
Aidan Hreschuk,Boston College,D,31,71,2,6,8,0,0,0,0,11,18
Mike Posma,Boston College,F,35,92,4,5,9,1,0,0,0,16,15
Connor Joyce,Boston College,F,32,51,3,2,5,0,0,0,0,2,9
Brady Berard,Boston College,F,33,102,4,1,5,0,0,1,1,10,16
Lukas Gustafsson,Boston College,D,33,119,2,13,15,1,0,0,0,12,47
Oskar Jellvik,Boston College,F,23,76,4,9,13,0,0,0,1,10,15
Andre Gasseau,Boston College,F,34,134,15,15,30,2,3,0,3,49,19
Ryan Leonard,Boston College,F,35,304,29,18,47,4,9,1,6,44,57
Jacob Fowler,Boston College,G,33,0,0,2,2,0,0,0,0,17,0
Drew Fortescue,Boston College,D,34,75,0,10,10,0,0,0,0,42,26
Aram Minnetian,Boston College,D,33,86,2,12,14,0,1,0,0,16,21
Will Vote,Boston College,F,33,57,8,4,12,1,2,1,0,12,7
Gabe Perreault,Boston College,F,35,169,15,32,47,5,2,1,1,23,27
Teddy Stiga,Boston College,F,34,147,13,16,29,2,2,3,2,34,26
James Hagens,Boston College,F,35,154,10,25,35,2,3,0,0,24,27
Jake Sondreal,Boston College,F,34,58,2,4,6,0,2,0,0,36,4
Will Skahan,Boston College,D,28,59,2,5,7,0,0,0,0,10,17
Dean Letourneau,Boston College,F,34,55,0,3,3,0,0,0,0,6,10
Nolan Joyce,Boston College,D,16,21,0,0,0,0,0,0,0,4,4
Will Traeger,Boston College,F,4,1,0,0,0,0,0,0,0,0,0
Jan Korec,Boston College,G,3,0,0,0,0,0,0,0,0,0,0
Brehdan Engum,Boston University,D,30,48,0,2,2,0,0,0,0,8,19
Tristan Amonte,Boston University,F,32,29,4,2,6,0,0,0,1,19,10
Jack Hughes,Boston University,F,35,110,5,15,20,2,1,0,0,18,33
Matt Copponi,Boston University,F,35,120,4,16,20,0,0,1,0,10,19
Mathieu Caron,Boston University,G,21,0,0,3,3,0,0,0,0,0,0
Devin Kaplan,Boston University,F,33,81,10,5,15,2,0,2,0,47,17
Quinn Hutson,Boston University,F,33,207,20,26,46,5,2,0,1,29,34
Ryan Greene,Boston University,F,35,131,13,20,33,4,2,0,1,18,24
Gavin McCarthy,Boston University,D,34,86,3,12,15,0,1,1,1,51,20
Tom Willander,Boston University,D,34,97,2,20,22,1,1,0,0,8,19
Jack Harvey,Boston University,F,35,124,9,15,24,0,2,0,0,2,23
Mick Frechette,Boston University,D,21,12,0,0,0,0,0,0,0,8,2
Shane Lachance,Boston University,F,35,151,11,17,28,6,3,0,1,26,21
Aiden Celebrini,Boston University,D,26,43,1,5,6,0,0,0,0,12,16
Brandon Svoboda,Boston University,F,28,51,7,2,9,0,0,0,0,25,4
Kamil Bednarik,Boston University,F,35,66,1,15,16,0,0,1,0,28,12
Cole Eiserman,Boston University,F,34,183,21,10,31,10,4,0,0,27,47
Cole Hutson,Boston University,D,34,190,12,27,39,4,4,0,0,60,48
Alex Zetterberg,Boston University,F,24,37,5,3,8,1,1,0,0,2,11
Sascha Boumedienne,Boston University,D,35,80,3,9,12,0,0,0,0,29,34
Jack Page,Boston University,D,18,14,0,2,2,0,0,0,0,14,6
Nick Roukounakis,Boston University,F,15,17,0,5,5,0,0,0,0,12,4
Mikhail Yegorov,Boston University,G,13,0,0,1,1,0,0,0,0,0,0
Doug Grimes,Boston University,F,15,16,1,0,1,0,0,0,0,8,1
Billy Girard IV,Boston University,G,1,0,0,0,0,0,0,0,0,0,0
Kaelan Taylor,Clarkson,D,37,91,1,6,7,0,0,0,0,10,32
Ayrton Martino,Clarkson,F,37,137,24,25,49,3,8,0,2,8,21
Garrett Dahm,Clarkson,F,36,61,6,7,13,0,1,3,2,12,8
Ryan Richardson,Clarkson,F,36,144,11,17,28,4,2,0,2,14,19
Ryan Bottrill,Clarkson,F,37,124,7,11,18,2,2,0,0,24,36
Trey Taylor,Clarkson,D,37,203,8,19,27,3,0,0,1,12,35
Tristan Sarsland,Clarkson,D,37,206,7,14,21,1,1,1,0,14,57
Erik Bargholtz,Clarkson,F,37,92,5,7,12,1,1,1,1,12,20
Ellis Rickwood,Clarkson,F,37,135,10,23,33,6,0,0,0,22,28
Ryan Taylor,Clarkson,F,31,123,3,7,10,3,1,0,0,4,27
Carter Rose,Clarkson,D,23,38,0,2,2,0,0,0,0,10,9
Talon Sigurdson,Clarkson,F,37,132,10,8,18,0,1,0,1,21,19
Marcus BrÃ¤nnman,Clarkson,G,5,0,0,0,0,0,0,0,0,2,0
Shawn O'Donnell,Clarkson,F,37,43,1,3,4,0,0,0,1,16,10
Luka Sukovic,Clarkson,F,34,80,7,8,15,1,3,1,2,16,14
Jared Mangan,Clarkson,F,36,125,6,5,11,4,2,0,0,10,29
Tate Taylor,Clarkson,D,31,108,3,13,16,0,0,0,0,8,26
Luke Pakulak,Clarkson,F,28,32,2,5,7,0,0,0,0,10,8
Ty Brassington,Clarkson,D,36,81,2,5,7,0,0,0,1,2,13
Jack Sparks,Clarkson,D,36,95,1,4,5,0,1,0,0,50,41
Ethan Langenegger,Clarkson,G,34,1,0,1,1,0,0,0,0,0,0
Oliver Moberg,Clarkson,F,13,19,0,0,0,0,0,0,0,6,4
Ray Fust,Clarkson,F,17,42,2,2,4,0,0,0,0,2,8
George Grannis,Clarkson,F,2,2,0,0,0,0,0,0,0,0,0
Caden Lewandowski,Clarkson,D,2,1,0,0,0,0,0,0,0,0,1
Brady Egan,Clarkson,F,9,15,0,2,2,0,0,0,0,4,6
Brady Parker,Clarkson,G,1,0,0,0,0,0,0,0,0,0,0
Reid Irwin,Colgate,D,32,114,6,11,17,2,0,0,0,8,46
Tommy Bergsland,Colgate,D,36,123,4,19,23,1,1,1,1,10,37
Nic Belpedio,Colgate,D,29,69,3,6,9,0,0,0,0,6,27
Ben Raymond,Colgate,F,36,107,9,9,18,0,2,2,0,21,17
Alex DiPaolo,Colgate,F,32,128,11,15,26,5,1,0,1,12,32
Brett Chorske,Colgate,F,36,126,15,19,34,2,2,0,0,23,19
Andrew Takacs,Colgate,G,32,1,0,1,1,0,0,0,0,6,0
Owen Neuharth,Colgate,F,29,34,3,6,9,0,1,0,1,8,11
Robby Newton,Colgate,F,25,36,3,6,9,0,0,1,0,8,5
Niko Rexine,Colgate,F,33,55,5,10,15,0,2,0,1,12,8
Jake Schneider,Colgate,F,36,108,4,9,13,0,1,1,0,14,18
Antonio Fernandez,Colgate,D,31,96,5,9,14,0,0,0,0,10,31
Jacob Napier,Colgate,D,26,43,2,2,4,0,0,0,0,6,13
Ryan Sullivan,Colgate,F,23,67,5,10,15,1,1,0,0,20,10
Ryan Sullivan,Miami,F,34,83,6,4,10,3,0,0,0,8,23
Michael Neumeier,Colgate,D,35,141,8,12,20,1,2,0,0,9,32
Simone DadiÃ¨,Colgate,F,30,46,5,2,7,0,1,0,0,8,9
Max Nagel,Colgate,F,36,130,6,18,24,1,0,0,1,12,22
Jack Brandt,Colgate,F,30,37,2,5,7,0,1,0,0,40,6
Ryan Spinale,Colgate,F,34,52,4,2,6,2,0,0,0,69,8
Brett Merner,Colgate,D,35,51,3,6,9,0,0,0,0,0,14
